chip_ID,time,I_HV,V_HV
mycsvfile,07122023-140924,20.0,9.7
mycsvfile,07122023-140930,20.0,9.7
mycsvfile,07122023-140936,20.0,9.7
mycsvfile,07122023-140942,20.0,9.7
mycsvfile,07122023-140948,20.0,9.7
mycsvfile,07122023-140954,20.0,9.7
mycsvfile,07122023-141000,20.0,9.7
mycsvfile,07122023-141006,20.0,9.7
mycsvfile,07122023-141012,20.0,9.7
mycsvfile,07122023-141018,20.0,9.7
mycsvfile,07122023-141024,20.0,9.7
mycsvfile,07122023-141030,20.0,9.7
mycsvfile,07122023-141036,20.0,9.7
mycsvfile,07122023-141042,20.0,9.7
mycsvfile,07122023-141048,20.0,9.7
mycsvfile,07122023-141054,20.0,9.7
mycsvfile,07122023-141100,20.0,9.7
mycsvfile,07122023-141106,20.0,9.7
mycsvfile,07122023-141112,20.0,9.7
mycsvfile,07122023-141118,20.0,9.7
mycsvfile,07122023-141124,20.0,9.7
